category_id,views,likes,dislikes,comments_disabled,ratings_disabled,is_weekend
24,58019,87,31,True,False,False
27,12790,234,22,False,False,False
28,153384,29321,750,False,False,False
24,75843,55,35,False,False,True
1,269593,3931,390,False,False,True
24,868921,34242,1317,False,False,False
10,33523622,1634126,21082,False,False,False
24,209606,3739,118,False,False,False
25,37616,17,0,False,False,True
24,482839,3978,248,False,False,True
1,181117,3218,222,False,False,False
24,146859,421,52,False,False,False
23,108414,3771,5349,False,False,True
24,78447,241,11,False,False,True
24,218178,1373,214,False,False,True
1,103665,566,66,False,False,True
24,2095731,132237,1989,False,False,True
23,1014724,25413,891,False,False,False
24,277050,2131,113,False,False,False
24,109580,391,73,False,False,True
24,308394,5415,1833,False,False,False
26,298998,1260,371,True,False,True
23,748248,18891,1001,False,False,False
24,17006,287,2,False,False,False
24,377572,1717,170,False,False,True
24,134307,1762,104,False,False,True
24,277839,1167,162,False,False,True
24,85165,244,41,False,False,True
27,69426,1112,125,True,False,True
24,2664065,2351,4169,False,False,False
24,16825,31,12,False,False,True
25,84097,352,44,False,False,True
22,367797,2254,605,True,False,False
24,315154,842,219,False,False,True
24,26675,540,21,False,False,True
24,185537,7629,734,False,False,True
25,66463,622,50,False,False,True
22,36092,106,58,False,False,True
24,35431,51,32,False,False,True
25,59708,151,37,False,False,True
24,182209,970,152,False,False,True
24,249737,1303,483,False,False,True
24,204351,5192,480,False,False,True
22,37384,164,32,False,False,True
22,197122,0,0,False,True,True
24,94383,168,18,False,False,True
23,353789,25657,1949,False,False,True
22,121361,1364,75,False,False,True
25,50220,15,0,False,False,False
24,96306,52,75,False,False,True
24,31052,36,11,False,False,False
17,1641745,7643,702,False,False,True
25,42032,243,32,False,False,True
25,71272,309,38,False,False,True
24,90034,1948,183,False,False,True
24,25844,1440,22,False,False,False
29,51575,0,0,True,True,True
23,71786,9067,453,False,False,True
24,7125,18,0,False,False,True
24,158126,3477,136,False,False,True
25,31421,57,12,False,False,False
27,14018,764,9,False,False,False
22,15107,1090,6,False,False,True
24,20463,111,20,False,False,False
24,23082,31,12,False,False,False
24,19567,171,28,False,False,False
24,34206,24,44,False,False,False
24,55908,452,18,False,False,True
10,37786,1102,28,False,False,False
28,64656,392,47,False,False,True
24,662980,18875,2323,False,False,False
26,98212,670,87,False,False,True
25,92089,895,137,False,False,True
24,63293,172,20,False,False,True
25,22933,83,28,False,False,False
25,69459,351,70,False,False,True
22,82449,1305,83,False,False,True
24,58815,131,37,False,False,True
23,68808,4664,99,False,False,True
27,103975,162,54,False,False,True
25,64197,904,99,False,False,True
22,2820328,96617,6336,False,False,False
25,47328,1053,30,False,False,True
25,85832,423,94,False,False,True
24,279282,2560,292,False,False,True
2,62151,843,67,False,False,False
23,81117,1237,90,False,False,True
24,72644,44,44,True,False,True
24,81305,104,52,False,False,True
28,308383,20361,851,False,False,False
10,1205088,65244,1435,False,False,False
1,194888,4711,263,False,False,False
10,204389,2687,145,False,False,False
24,177563,292,40,False,False,False
25,50914,868,32,False,False,True
24,141759,175,46,False,False,True
25,60541,249,65,False,False,True
24,68992,2769,209,False,False,True
25,66231,203,42,False,False,True
22,206015,142,56,False,False,False
24,376679,1308,63,False,False,True
26,743321,2570,1154,False,False,False
10,12408,113,22,False,False,False
23,100662,2021,453,False,False,True
10,42923,908,126,False,False,True
22,20086,1059,28,False,False,True
1,14480,285,16,False,False,True
22,23421,181,19,False,False,False
24,1385906,31396,1008,False,False,False
24,54848,1520,61,False,False,True
29,17726,887,21,False,False,True
24,40576,180,41,False,False,True
23,567803,43269,4038,False,False,False
1,1651358,41670,1409,False,False,True
25,1680175,1661,4078,True,False,False
24,857223,996,860,False,False,False
24,500547,19966,800,False,False,False
24,343346,1283,208,False,False,False
22,325990,3646,60,False,False,False
24,680789,2701,346,False,False,True
25,229544,1189,160,True,False,False
24,988211,3079,898,False,False,False
10,7003332,145592,8358,False,False,True
22,661348,1160,964,False,False,False
28,719257,77250,1749,False,False,False
23,1549965,79943,1972,False,False,True
24,658053,3153,269,False,False,False
43,591632,3231,1327,False,False,False
22,692610,898,1249,False,False,False
22,327020,15005,606,False,False,False
25,311713,3861,381,False,False,False
10,210973,672,353,False,False,False
10,11805080,142237,9944,False,False,True
24,69392,212,84,False,False,False
24,910846,5561,2953,False,False,True
10,579980,54435,1542,False,False,False
25,332705,305,496,True,False,False
23,645886,37295,809,False,False,False
10,2995455,43428,1037,False,False,True
24,1110169,63658,1695,False,False,True
25,126781,424,275,False,False,False
24,566770,627,311,False,False,False
24,237512,9427,420,False,False,False
27,133254,16357,238,False,False,False
24,6526627,101450,4352,False,False,False
22,223867,480,156,False,False,False
24,297211,2327,201,False,False,False
24,303877,1658,287,False,False,False
24,53290,166,372,False,False,False
23,123911,9576,167,False,False,False
23,300913,16504,719,False,False,True
25,267990,2545,305,False,False,False
10,160856,2983,134,False,False,False
24,3031998,17437,1693,False,False,True
24,662199,3226,348,False,False,True
2,231016,1157,373,False,False,False
25,84171,0,0,False,True,False
26,142890,1272,131,False,False,False
24,4632016,131784,9892,False,False,False
24,184479,657,169,False,False,False
17,1574756,32539,843,False,False,False
24,513503,14485,1240,False,False,False
28,397157,10036,557,False,False,False
24,61702,273,57,False,False,False
24,325334,5693,159,False,False,False
23,129570,5706,792,False,False,False
24,83576,511,43,False,False,False
24,277287,10310,738,False,False,False
23,298473,11836,219,False,False,False
23,30969,1019,19,False,False,False
24,49903,105,30,False,False,False
24,182089,918,94,False,False,False
25,217750,1652,139,False,False,False
1,37533416,853550,62858,False,False,False
24,50323,88,59,False,False,False
24,109639,722,139,False,False,False
10,911853,26144,248,False,False,True
24,266941,1075,150,False,False,False
27,55663,2869,36,False,False,False
24,114529,2267,90,False,False,False
24,259440,1324,218,False,False,False
24,382852,2805,165,False,False,False
27,150609,4076,289,False,False,True
24,353787,24062,510,False,False,False
24,83168,134,118,False,False,False
22,2188675,88100,7150,False,False,False
1,300412,8740,80,False,False,True
24,254300,233,201,False,False,True
23,219445,1225,126,False,False,False
23,1059267,21327,476,False,False,False
19,202954,633,55,False,False,True
26,47599,3100,152,False,False,False
24,48944,84,74,False,False,False
25,101269,1805,152,False,False,False
24,96042,530,73,False,False,False
24,176363,177,100,True,False,False
25,144742,189,128,False,False,True
26,66725,807,69,False,False,False
26,487379,3187,727,False,False,False
26,4752153,48776,4615,False,False,False
24,802375,10017,1062,False,False,True
27,26011,839,37,False,False,False
22,2205764,10408,1047,False,False,False
27,26395,0,0,True,True,False
24,1025278,14064,593,False,False,False
24,151529,580,146,False,False,False
25,91377,449,57,False,False,False
24,133609,763,65,False,False,False
22,28816,376,31,False,False,False
25,103279,2083,101,False,False,False
23,17506,1439,30,False,False,False
22,103810,1193,158,False,False,False
23,1503131,20618,607,False,False,False
10,128872,2297,59,False,False,False
23,17900,2210,49,False,False,False
23,29133,1761,54,False,False,False
24,37559,69,18,False,False,False
24,172636,885,142,False,False,False
24,33648,109,5,False,False,False
25,59182,0,0,False,True,False
24,97993,327,57,False,False,False
2,147609,1427,152,False,False,False
1,50655,946,35,False,False,False
22,50424,455,122,False,False,False
25,95588,359,43,False,False,False
24,167682,4206,461,False,False,False
10,1697470,54204,311,False,False,True
24,802933,2851,701,False,False,True
25,78408,718,103,False,False,False
23,1611093,58474,837,False,False,False
26,103430,1034,90,False,False,False
27,132731,8309,120,False,False,True
26,23831,1380,7,False,False,False
24,33752,97,174,False,False,False
24,321291,6676,722,False,False,True
24,162377,245,86,False,False,False
24,145896,620,102,False,False,False
26,3897195,31125,2771,False,False,True
10,29917,3598,29,False,False,False
24,170615,587,66,False,False,False
25,88114,182,24,False,False,True
24,248319,651,100,False,False,False
24,430838,812,357,False,False,False
24,34392,85,259,False,False,False
27,29839,1718,36,False,False,False
28,78876,8775,223,False,False,False
22,57224,165,151,False,False,True
24,1257923,20769,2641,False,False,False
24,114520,7073,56,False,False,False
22,97260,444,40,True,False,True
23,208145,1605,294,False,False,True
24,9548,0,0,True,True,False
22,16685,1073,11,False,False,False
24,163829,584,125,False,False,False
25,80936,4642,199,False,False,False
26,117609,2727,124,False,False,False
24,20237,63,10,False,False,False
24,37421,69,21,False,False,False
24,54381,226,38,False,False,False
23,847058,15007,533,False,False,False
24,36332,457,8,False,False,False
25,253783,2549,296,False,False,True
24,36980,70,17,False,False,False
24,231696,181,301,False,False,False
25,44914,62,34,False,False,False
24,46622,241,18,False,False,False
24,103541,86,126,False,False,True
24,26112,34,3,False,False,False
24,14529,1018,131,False,False,False
22,240162,3874,215,False,False,True
27,109000,1424,201,True,False,True
22,44761,905,36,False,False,False
24,228060,2804,165,False,False,True
23,219940,2924,170,False,False,False
28,83551,3434,73,False,False,False
10,109014,2432,81,False,False,False
10,603817,14448,481,False,False,False
24,51128,39,62,False,False,False
1,23942,1367,39,False,False,False
24,151604,3785,98,False,False,True
24,39638,69,25,False,False,False
22,15777,0,0,False,True,False
25,160759,745,65,False,False,False
24,127421,208,25,False,False,True
25,91153,384,57,False,False,False
10,39082222,1721384,23137,False,False,False
25,46959,111,62,False,False,False
22,1406559,55320,1136,False,False,False
24,263610,1539,263,False,False,True
17,42816,169,55,False,False,False
1,289853,4088,417,False,False,True
26,200516,2120,194,False,False,False
24,76178,327,35,True,False,False
26,132447,799,116,False,False,True
24,2509626,144816,2262,False,False,True
24,65863,94,37,True,False,False
24,13443,51,8,False,False,False
25,61942,345,43,False,False,True
24,13530,57,3,False,False,True
24,63811,85,16,False,False,False
29,73442,0,0,True,True,True
24,21771,93,5,False,False,False
26,416539,1648,525,True,False,True
27,16835,234,23,False,False,False
22,25309,88,11,False,False,False
28,123931,778,101,False,False,True
24,42124,2094,25,False,False,False
23,822351,52410,5406,False,False,False
23,309721,20246,792,False,False,False
1,2035734,46159,1807,False,False,True
25,2180397,1986,5356,True,False,False
24,237916,686,329,False,False,False
25,419775,1692,292,True,False,False
22,563865,4920,112,False,False,False
24,564551,3241,1123,False,False,False
24,702115,23548,1050,False,False,False
22,573564,20293,908,False,False,False
24,220406,11716,163,False,False,False
27,544075,1488,789,True,False,False
24,186441,258,350,False,False,False
24,550518,17122,1429,False,False,False
24,140176,374,754,False,False,False
28,937224,85885,2186,False,False,False
24,1029327,1177,1113,False,False,False
22,1145633,1422,2372,False,False,False
24,432276,1455,273,False,False,False
24,1264275,3697,1158,False,False,False
24,445904,13725,1107,False,False,False
24,958953,4249,441,False,False,False
10,7848975,156489,9009,False,False,True
22,893524,1413,1243,False,False,False
10,820541,61225,1801,False,False,False
10,275893,842,478,False,False,False
25,431533,4779,518,False,False,False
25,377551,2226,194,False,False,False
24,748053,2887,370,False,False,True
10,66756,442,58,False,False,False
24,291634,1531,295,False,False,False
25,55754,114,24,False,False,False
23,234050,7802,1158,False,False,False
24,75526,389,55,False,False,False
23,107663,816,93,False,False,False
22,520151,25136,1076,False,False,False
23,1697241,83947,2120,False,False,True
24,267799,2111,211,False,False,False
24,498607,4791,314,False,False,False
24,121133,809,131,False,False,False
27,237316,23006,378,False,False,False
24,132764,359,158,False,False,False
10,251704,3778,198,False,False,False
23,179477,11683,214,False,False,False
24,346979,11703,528,False,False,False
24,214785,4323,299,False,False,False
24,110311,427,86,False,False,False
24,733339,39330,985,False,False,False
24,447161,2791,286,False,False,False
10,12455134,146589,10500,False,False,True
25,152194,491,322,False,False,False
23,738242,39857,930,False,False,False
22,432006,1394,240,False,False,False
24,112033,317,42,False,False,False
24,1050556,6086,3245,False,False,True
24,120738,615,64,False,False,False
23,72971,2676,73,False,False,False
24,667544,709,384,False,False,False
24,305430,1072,70,False,False,False
27,42393,438,71,False,False,False
10,3425289,49608,1175,False,False,True
24,116779,442,86,False,False,False
23,45865,1241,27,False,False,False
27,56140,2925,50,False,False,False
26,261498,1823,227,False,False,False
24,197199,666,176,False,False,False
24,471296,994,306,False,False,False
26,735721,4193,1047,False,False,False
25,328125,2823,352,False,False,False
22,267100,548,183,False,False,False
24,1169578,65113,1733,False,False,True
23,343905,17544,822,False,False,True
24,66755,348,72,False,False,False
24,110478,12886,421,False,False,False
22,100539,920,175,False,False,False
23,1011849,18214,577,False,False,False
24,3417271,18692,1864,False,False,True
25,112286,5452,251,False,False,False
24,6756057,102662,4423,False,False,False
25,101653,0,0,False,True,False
24,153736,1387,18,False,False,False
24,63292,119,34,False,False,False
24,220176,26211,605,False,False,False
2,295165,1398,509,False,False,False
27,26745,0,0,True,True,False
24,177944,1028,168,False,False,False
17,1717414,34163,884,False,False,False
24,34000,414,22,False,False,False
24,51374,78,26,False,False,False
24,171580,1854,137,False,False,False
24,372722,6326,166,False,False,False
25,131936,535,67,False,False,False
25,130558,2347,131,False,False,False
25,62218,74,30,False,False,False
24,156705,2713,118,False,False,False
26,106403,1136,112,False,False,False
28,116079,24034,341,False,False,False
24,160501,829,108,False,False,False
25,78098,1530,73,True,False,False
24,5086221,137820,10468,False,False,False
24,725835,3395,368,False,False,True
1,79345,1218,53,False,False,False
43,201143,825,134,False,False,False
28,454660,10509,601,False,False,False
23,419906,14642,287,False,False,False
24,47190,127,19,False,False,False
25,538702,429,802,True,False,False
24,1035219,12769,451,False,False,False
26,16148,864,61,False,False,False
23,1450746,16653,830,False,False,False
22,714815,37261,772,False,False,False
22,50844,175,44,False,False,False
24,429296,1783,208,False,False,False
24,82675,108,36,False,False,False
22,40089,222,72,True,False,False
25,28142,40,13,False,False,False
24,67269,1958,74,False,False,False
22,74715,107,38,False,False,False
25,113105,1901,427,False,False,False
24,37528,35,26,False,False,False
24,61755,5192,133,False,False,False
24,141873,1018,168,False,False,False
24,73092,96,41,False,False,False
22,36956,442,37,False,False,False
24,24304,166,13,False,False,False
24,118592,406,105,False,False,False
24,45892,126,238,False,False,False
24,82798,509,97,False,False,False
24,66457,58,31,True,False,False
17,749448,2680,244,False,False,False
24,101247,157,149,False,False,False
25,118020,1938,197,False,False,False
24,293291,1411,248,False,False,False
26,5168203,51975,5286,False,False,False
25,50358,518,38,False,False,False
27,15568,917,12,False,False,False
24,1559003,29898,884,False,False,False
10,168349,2725,75,False,False,False
24,302706,278,246,False,False,True
22,83233,586,177,False,False,False
28,1825705,77531,4156,False,False,False
1,38664360,865914,63908,False,False,False
26,336643,3023,289,False,False,False
10,963491,26977,264,False,False,True
22,23191,236,47,False,False,False
23,43202,2755,184,False,False,False
10,100052,392,60,False,False,False
25,85576,744,107,False,False,False
1,536684,1126,182,False,False,False
23,31257,2974,72,False,False,False
24,16981,14,2,False,False,False
24,34873,774,34,False,False,False
27,27315,1396,39,False,False,False
10,124662,2679,97,False,False,False
2,189666,1598,185,False,False,False
23,2223948,76806,1169,False,False,False
25,159691,202,137,False,False,True
22,40618,164,37,False,False,False
24,150152,786,80,False,False,False
22,38602,60,21,False,False,False
23,39908,2157,64,False,False,False
22,2325233,91111,7543,False,False,False
22,59349,867,67,False,False,False
24,41740,100,301,False,False,False
1,45311,1892,42,False,False,False
25,130663,433,63,False,False,False
24,79750,288,29,False,False,False
24,12140,13,11,False,False,False
22,81301,205,227,False,False,True
26,35028,1672,10,False,False,False
24,861106,10629,1123,False,False,True
23,16273,893,36,False,False,False
24,212451,307,117,False,False,False
25,38662,451,221,False,False,False
19,207797,638,58,False,False,True
1,321020,8992,82,False,False,True
24,98274,700,64,False,False,False
22,29519,0,0,True,True,False
24,48232,640,32,False,False,False
24,57717,3763,66,False,False,False
10,42652,4552,35,False,False,False
25,36875,23,10,False,False,True
24,20289,1221,154,False,False,False
1,169002,3492,306,False,False,False
22,2326210,10760,1089,False,False,False
1,1251180,32186,455,False,False,False
24,475385,860,381,False,False,False
23,313579,3679,237,False,False,False
24,378046,7197,791,False,False,True
24,11337,434,30,False,False,False
25,63374,55,44,False,False,False
25,96537,452,56,False,False,False
24,31594,119,16,False,False,False
24,12462,74,6,False,False,False
24,34498,619,31,False,False,False
25,10429,140,12,False,False,False
24,1532904,47589,3304,False,False,False
23,857515,93592,2280,False,False,False
24,465832,36425,947,False,False,False
23,707236,31887,1635,False,False,False
23,442329,27324,924,False,False,False
24,252751,5802,531,False,False,False
24,344305,1166,416,False,False,False
22,356323,1997,418,False,False,False
24,414721,964,629,False,False,False
24,293359,14169,198,False,False,False
23,1013139,58355,6279,False,False,False
10,212803,4134,177,False,False,False
23,145810,2091,292,False,False,False
24,226346,1530,86,False,False,False
23,244455,13070,698,False,False,False
24,4722974,119108,3782,False,False,False
25,399285,2726,1036,False,False,False
25,129356,602,233,False,False,False
24,2585193,40776,3499,False,False,False
43,416189,2107,714,False,False,False
22,794338,31491,1406,False,False,False
25,2485480,2216,6181,True,False,False
24,344362,2506,230,False,False,False
23,314497,9245,1455,False,False,False
22,315785,2769,267,False,False,False
22,80969,656,35,False,False,False
24,304699,13652,243,False,False,False
24,327487,1093,81,False,False,False
24,459439,2733,302,False,False,False
29,164658,2670,386,False,False,False
22,656425,5443,152,False,False,False
24,1192215,5127,590,False,False,False
24,163138,121,115,False,False,False
25,137704,1098,312,False,False,False
25,91188,1180,72,False,False,False
25,486018,1864,321,True,False,False
10,144558,752,131,False,False,False
22,703017,22518,1050,False,False,False
24,63804,74,85,False,False,False
27,683585,1732,1005,True,False,False
24,281551,361,579,False,False,False
24,785987,24738,1141,False,False,False
24,95416,59,90,False,False,False
28,1117997,50948,760,False,False,False
25,489273,2572,239,False,False,False
24,186213,17184,602,False,False,False
1,323829,4131,262,False,False,False
24,280824,4968,372,False,False,False
28,1058398,90492,2430,False,False,False
24,698483,6077,405,False,False,False
24,416499,1763,374,False,False,False
10,954599,65291,1938,False,False,False
24,94688,1827,55,False,False,False
22,78210,926,141,False,False,False
22,583296,1737,330,False,False,False
24,109261,438,66,False,False,False
24,1386318,3954,1259,False,False,False
24,173003,912,154,False,False,False
24,514221,14784,1242,False,False,False
24,138832,634,150,False,False,False
28,291126,4535,206,False,False,False
24,1096822,1247,1211,False,False,False
25,98579,162,47,False,False,False
24,957205,46301,1237,False,False,False
24,471745,1545,292,False,False,False
24,49052,674,38,False,False,False
27,50574,2195,35,False,False,False
24,106452,989,52,False,False,False
25,112732,826,429,False,False,False
24,292845,734,178,False,False,False
22,59897,928,46,False,False,False
22,1405775,1640,2908,False,False,False
25,511595,5302,593,False,False,False
24,62993,157,25,False,False,False
24,67376,468,126,False,False,False
22,1002809,1541,1368,False,False,False
10,8579861,165324,9576,False,False,True
24,64250,186,123,False,False,False
10,318247,958,568,False,False,False
24,772324,2939,381,False,False,True
23,276313,9590,377,False,False,False
25,140794,410,106,False,False,False
10,300176,4081,231,False,False,False
43,249846,992,130,False,False,False
25,118284,646,343,False,False,False
25,92051,4354,147,False,False,False
17,127803,1913,145,False,False,False
25,155115,2250,551,False,False,False
24,107958,6868,194,False,False,False
27,18747,0,0,True,True,False
23,102111,4778,93,False,False,False
24,212864,2121,160,False,False,False
24,168095,433,201,False,False,False
27,289596,25689,427,False,False,False
25,37803,47,19,False,False,False
24,167129,847,156,False,False,False
25,122134,1121,176,False,False,False
23,1798367,86446,2179,False,False,True
22,37544,174,24,True,False,False
24,127511,127,50,False,False,False
24,400000,12534,584,False,False,False
24,127334,2845,109,False,False,False
23,201800,12508,229,False,False,False
24,597836,10079,324,False,False,False
26,885980,4870,1241,False,False,False
24,143566,514,104,False,False,False
29,10282,952,3,False,False,False
22,1090890,47482,1043,False,False,False
25,61604,648,177,False,False,False
28,481910,10747,622,False,False,False
28,151713,27113,411,False,False,False
23,88873,2902,87,False,False,False
24,36828,58,56,False,False,False
29,75277,0,0,True,True,False
25,83969,1093,68,False,False,False
24,100867,127,104,False,False,False
27,20492,697,22,False,False,False
24,46669,125,10,False,False,False
24,296049,839,234,False,False,False
22,75954,119,38,False,False,False
25,123292,961,232,False,False,False
23,798143,16602,308,False,False,False
25,164442,526,348,False,False,False
10,41929,1907,128,False,False,False
25,56117,128,110,False,False,False
23,793427,41314,996,False,False,False
22,136107,37,12,False,False,False
25,49404,469,67,False,False,False
24,170177,641,120,False,False,False
10,12936568,149414,10929,False,False,True
24,702815,741,402,False,False,False
24,44539,238,20,False,False,False
26,346741,2152,271,False,False,False
10,26795,451,20,False,False,False
25,145024,1434,251,False,False,False
24,1623989,30540,775,False,False,False
25,368957,3031,393,False,False,False
24,6946197,103728,4496,False,False,False
26,40513,594,50,False,False,False
24,253729,2474,35,False,False,False
1,101712,1426,64,False,False,False
25,165409,634,75,False,False,False
24,133517,637,73,False,False,False
10,3733789,54050,1286,False,False,True
24,346107,32984,828,False,False,False
17,389636,6858,376,False,False,False
22,49291,422,85,False,False,False
25,46826,990,83,False,False,False
24,183640,2986,131,False,False,False
26,36705,497,31,False,False,False
22,76490,251,67,False,False,False
22,292060,582,200,False,False,False
23,365858,18073,865,False,False,True
10,25461,178,22,False,False,False
25,74821,88,38,False,False,False
24,29822,31,62,True,False,False
24,41040,341,58,False,False,False
24,3645728,19546,1980,False,False,True
25,165909,576,122,False,False,False
25,148461,2542,156,False,False,False
24,469593,1836,226,False,False,False
24,49999,63,28,False,False,False
24,28816,318,29,False,False,False
24,64585,1200,62,False,False,False
24,1206433,65917,1752,False,False,True
25,108728,0,0,False,True,False
25,43480,62,26,False,False,False
23,50641,1305,32,False,False,False
26,31856,0,0,False,True,False
25,16012,20,9,False,False,False
26,49501,2489,111,False,False,False
24,56936,83,29,False,False,False
27,143304,11876,869,False,False,False
24,5392036,142006,10797,False,False,False
23,1698875,18073,1013,False,False,False
24,40104,170,14,False,False,False
27,12807,648,4,False,False,False
25,68014,1301,109,False,False,False
25,549480,433,833,True,False,False
25,46256,386,52,False,False,False
23,65537,3518,236,False,False,False
22,30539,1123,27,False,False,False
25,21852,0,0,False,True,False
24,82552,317,33,False,False,False
25,60613,481,154,False,False,False
24,194696,17547,223,False,False,False
24,54257,128,17,False,False,False
24,11362,34,13,False,False,False
26,686550,9445,625,False,False,False
27,17032,321,11,False,False,False
26,412768,3633,365,False,False,False
24,32649,152,33,False,False,False
24,171592,1586,157,False,False,False
24,755543,3513,372,False,False,True
24,21540,195,17,False,False,False
24,2812994,61589,4613,False,False,False
23,1751208,134205,3959,False,False,False
23,1252197,129555,1361,False,False,False
25,534946,7827,1766,False,False,False
25,344618,3071,823,False,False,False
1,509664,7166,557,True,False,False
23,345266,15398,1445,False,False,False
24,955689,50319,1535,False,False,False
24,847610,2174,879,False,False,False
22,1297438,6988,993,False,False,False
10,736603,53375,770,False,False,False
25,228047,1395,678,False,False,False
24,276576,10072,160,False,False,False
23,963232,37235,2144,False,False,False
23,622752,32184,1173,False,False,False
24,90335,856,257,False,False,False
23,591187,4198,766,False,False,False
24,169483,10430,321,False,False,False
24,318267,5051,453,False,False,False
23,370489,28078,491,False,False,False
10,3013420,115005,2389,False,False,False
25,219601,903,398,False,False,False
24,7797259,94548,8233,False,False,False
28,572811,139021,1316,False,False,False
23,272736,9550,278,False,False,False
24,466601,2326,166,False,False,False
24,351762,2309,450,False,False,False
24,8072982,174945,6413,False,False,False
10,341851,5440,271,False,False,False
24,415942,16709,259,False,False,False
22,143740,1650,311,False,False,False
43,523815,2364,1129,False,False,False
24,295399,2556,172,False,False,False
23,419905,16385,1434,False,False,False
24,503761,1093,764,False,False,False
1,617545,7017,523,False,False,False
1,136966,3838,122,False,False,False
29,236505,3225,500,False,False,False
24,230837,9120,176,False,False,False
17,142791,2104,129,False,False,False
25,54817,691,122,False,False,False
24,309568,2337,229,False,False,False
25,203175,1870,133,False,False,False
28,71200,409,48,False,False,False
22,984363,33850,1591,False,False,False
25,84522,0,0,False,True,False
23,1122114,61434,6745,False,False,False
23,278147,10515,245,False,False,False
22,156924,1166,63,False,False,False
28,1666003,61821,1055,False,False,False
24,520528,2898,335,False,False,False
24,69927,7149,317,False,False,False
25,212395,532,240,False,False,False
24,420629,1751,384,False,False,False
23,394659,10370,1658,False,False,False
26,90287,625,193,False,False,False
24,141445,538,209,False,False,False
25,298925,1982,186,False,False,False
24,178601,386,308,False,False,False
25,107088,4466,187,False,False,False
24,61089,302,42,False,False,False
24,85294,948,68,False,False,False
25,61316,156,46,False,False,False
28,429739,5393,269,False,False,False
24,416115,1208,111,False,False,False
24,146034,510,159,False,False,False
24,174536,384,115,False,False,False
24,149087,2347,218,False,False,False
10,76685,4618,166,False,False,False
25,2685050,2347,6683,True,False,False
10,190829,966,192,False,False,False
43,267184,1105,167,False,False,False
24,116564,3384,155,False,False,False
27,52068,2581,35,False,False,False
24,134032,778,35,False,False,False
10,1869200,22810,496,False,False,False
24,132471,853,117,False,False,False
25,70360,386,110,False,False,False
25,128750,908,476,False,False,False
22,135055,1130,202,False,False,False
24,149129,88,181,False,False,False
24,81538,87,113,False,False,False
24,196967,135,160,False,False,False
24,1394162,5785,717,False,False,False
22,694118,5600,155,False,False,False
25,95388,902,300,False,False,False
25,69387,250,54,False,False,False
25,55606,1076,61,False,False,False
24,44582,91,7,False,False,False
24,205889,824,218,False,False,False
25,102157,1360,124,False,False,False
24,220998,5284,78,False,False,False
24,33083,402,21,False,False,False
22,207478,2619,184,False,False,False
24,138576,3160,1875,False,False,False
27,27538,1098,27,False,False,False
24,127415,2126,87,False,False,False
22,565671,3952,409,False,False,False
22,1518572,1719,3077,False,False,False
